TTH_HAD_PTH_GT300_Tag0 chi2 
1.6246 0
0.9 0.715521
0.7 1.31768
0.5 2.2442
0.3 3.66623
0.1 17.5537
2.1 0.185108
2.3 0.349527
2.5 0.551257
2.7 0.783445
2.9 1.04107
3.1 1.31975
3.3 1.61612
3.5 1.92749
3.7 2.25155
3.9 2.58645
4.1 2.93062
4.3 3.28267
4.5 3.64165
4.7 4.00644
4.9 4.37633
5.1 4.75049
5.3 5.12853
5.5 5.50981
5.7 5.89389
5.9 6.28017
6.1 6.66863
6.3 7.05862
6.5 7.4501
6.7 7.84276
6.9 8.23623
7.1 8.63053
7.3 9.02526
7.5 9.42056
7.7 9.81601
7.9 10.2113
1.1 0.337322
1.3 0.119787
1.5 0.0161648
1.7 0.00540219
1.9 0.0666119
