TTH_LEP_PTH_60_120_Tag0 chi2 
1.68286 0
0.9 0.500583
0.7 0.864236
0.5 1.38561
0.3 2.12717
0.1 14.5219
2.1 0.0942076
2.3 0.195518
2.5 0.325861
2.7 0.481119
2.9 0.657985
3.1 0.853566
3.3 1.06564
3.5 1.29224
3.7 1.53174
3.9 1.78274
4.1 2.04419
4.3 2.31472
4.5 2.59386
4.7 2.8806
4.9 3.17434
5.1 3.47449
5.3 3.78047
5.5 4.0918
5.7 4.40799
5.9 4.72866
6.1 5.05341
6.3 5.38184
6.5 5.7136
6.7 6.04834
6.9 6.38599
7.1 6.72614
7.3 7.06876
7.5 7.41364
7.7 7.7604
7.9 8.10892
1.1 0.255522
1.3 0.102403
1.5 0.0218385
1.7 0.000177219
1.9 0.0269786
