TTH_HAD_PTH_120_200_Tag1 chi2 
0.3278 0
0.3 0.312662
0.5 0.156536
0.7 0.367569
0.9 0.605682
2.1 2.4409
2.3 2.79563
2.5 3.16034
2.7 3.53405
2.9 3.91579
3.1 4.30489
3.3 4.70063
3.5 5.1023
3.7 5.50961
3.9 5.922
4.1 6.33884
4.3 6.75968
4.5 7.18492
4.7 7.61337
4.9 8.04513
5.1 8.47989
5.3 8.91722
5.5 9.35711
5.7 9.7991
5.9 10.243
6.1 10.6893
6.3 11.1361
6.5 11.5855
6.7 12.035
6.9 12.4863
7.1 12.9387
7.3 13.3921
7.5 13.8463
7.7 14.3012
7.9 14.7568
1.1 0.867343
1.3 1.14966
1.5 1.45017
1.7 1.76673
1.9 2.09749
