TTH_HAD_PTH_60_120_Tag1 chi2 
1.27954 0
0.9 0.00568127
0.7 0.0131895
0.5 0.0239489
0.3 0.117542
0.1 9.92511
2.1 0.0243385
2.3 0.0373086
2.5 0.0529002
2.7 0.0708494
2.9 0.0912314
3.1 0.113896
3.3 0.138752
3.5 0.165712
3.7 0.194679
3.9 0.225556
4.1 0.258281
4.3 0.292765
4.5 0.328919
4.7 0.366661
4.9 0.405914
5.1 0.446666
5.3 0.48869
5.5 0.532161
5.7 0.576823
5.9 0.622818
6.1 0.669897
6.3 0.718149
6.5 0.767356
6.7 0.817669
6.9 0.869004
7.1 0.921272
7.3 0.974557
7.5 1.02871
7.7 1.08374
7.9 1.13966
1.1 0.00127583
1.3 5.634e-06
1.5 0.00180902
1.7 0.00657227
1.9 0.0142077
