TTH_HAD_PTH_200_300_Tag0 chi2 
1.83612 0
0.9 0.90613
0.7 1.45938
0.5 2.24114
0.3 3.33646
0.1 15.4841
2.1 0.0487943
2.3 0.142606
2.5 0.276764
2.7 0.445066
2.9 0.642416
3.1 0.864839
3.3 1.10893
3.5 1.37188
3.7 1.65136
3.9 1.94546
4.1 2.25249
4.3 2.57102
4.5 2.89994
4.7 3.23814
4.9 3.58452
5.1 3.93828
5.3 4.29912
5.5 4.6657
5.7 5.0378
5.9 5.41466
6.1 5.79589
6.3 6.18099
6.5 6.56961
6.7 6.96141
6.9 7.35594
7.1 7.753
7.3 8.15217
7.5 8.55349
7.7 8.95646
7.9 9.36126
1.9 0.00311642
1.7 0.0148761
1.5 0.0970214
1.3 0.265881
1.1 0.523712
