TTH_HAD_PTH_120_200_Tag2 chi2 
0.330593 0
0.3 0.611758
0.5 0.153665
0.7 0.356743
0.9 0.579789
2.1 2.22103
2.3 2.52978
2.5 2.84552
2.7 3.16744
2.9 3.49506
3.1 3.82751
3.3 4.16433
3.5 4.5057
3.7 4.85034
3.9 5.19845
4.1 5.54972
4.3 5.90375
4.5 6.26037
4.7 6.61924
4.9 6.98023
5.1 7.34316
5.3 7.70753
5.5 8.07328
5.7 8.44038
5.9 8.80857
6.1 9.1778
6.3 9.54771
6.5 9.91854
6.7 10.2899
6.9 10.662
7.1 11.0345
7.3 11.4072
7.5 11.7797
7.7 12.1503
7.9 12.521
1.1 0.820662
1.3 1.07696
1.5 1.34676
1.7 1.62832
1.9 1.92018
