TTH_LEP_PTH_60_120_Tag1 chi2 
0.324863 0
0.1 7.77659
0.3 0.0493965
0.5 0.077151
0.7 0.174937
0.9 0.281748
2.1 1.06316
2.3 1.21103
2.5 1.36271
2.7 1.51782
2.9 1.67603
3.1 1.83705
3.3 2.00063
3.5 2.16646
3.7 2.33444
3.9 2.50431
4.1 2.67617
4.3 2.84941
4.5 3.02424
4.7 3.20049
4.9 3.37796
5.1 3.55662
5.3 3.7363
5.5 3.91692
5.7 4.09857
5.9 4.28093
6.1 4.46414
6.3 4.64809
6.5 4.83271
6.7 5.01793
6.9 5.20375
7.1 5.39011
7.3 5.57693
7.5 5.76424
7.7 5.95191
7.9 6.14008
1.1 0.396405
1.3 0.518305
1.5 0.646537
1.7 0.780499
1.9 0.919444
