TTH_LEP_PTH_120_200_Tag1 chi2 
4.5495 0
0.9 3.06609
0.7 3.56613
0.5 4.13303
0.3 4.82906
2.9 0.437318
2.7 0.566715
2.5 0.718077
2.3 0.893593
2.1 1.09581
3.9 0.0590364
3.7 0.103675
3.5 0.162537
3.3 0.236849
3.1 0.327935
4.1 0.0275593
4.3 0.00836779
4.5 0.000308583
4.7 0.00292881
4.9 0.0152083
5.1 0.0367358
5.3 0.0668367
5.5 0.104967
5.7 0.150626
5.9 0.203359
6.1 0.262736
6.3 0.328393
6.5 0.399952
6.7 0.477083
6.9 0.559457
7.1 0.646823
7.3 0.738866
7.5 0.835371
7.7 0.936133
7.9 1.04091
1.9 1.3276
1.7 1.59231
1.5 1.8937
1.3 2.23626
1.1 2.62508
