TTH_HAD_PTH_0_60_Tag1 chi2 
2.54025 0
0.9 0.207713
0.7 0.269288
0.5 0.341044
0.3 0.484845
0.1 9.30727
2.1 0.0127903
2.3 0.00373062
2.5 0.000101528
2.7 0.00156681
2.9 0.00780074
3.1 0.0182427
3.3 0.0329156
3.5 0.0514314
3.7 0.0735543
3.9 0.0990628
4.1 0.127753
4.3 0.159438
4.5 0.193943
4.7 0.23099
4.9 0.270608
5.1 0.312581
5.3 0.356781
5.5 0.403085
5.7 0.451379
5.9 0.501375
6.1 0.55332
6.3 0.607102
6.5 0.66231
6.7 0.718952
6.9 0.777164
7.1 0.836751
7.3 0.89765
7.5 0.95985
7.7 1.02318
7.9 1.08764
1.9 0.0276582
1.7 0.0488411
1.5 0.0768171
1.3 0.112356
1.1 0.155716
