TTH_HAD_PTH_120_200_Tag0 chi2 
1.88487 0
0.9 1.69014
0.7 2.67759
0.5 4.04399
0.3 5.92381
2.1 0.0528596
2.3 0.186048
2.5 0.386817
2.7 0.64474
2.9 0.951589
3.1 1.30073
3.3 1.68678
3.5 2.10584
3.7 2.55393
3.9 3.02771
4.1 3.52426
4.3 4.04088
4.5 4.57513
4.7 5.12478
4.9 5.68883
5.1 6.26499
5.3 6.85279
5.5 7.45028
5.7 8.05699
5.9 8.67141
6.1 9.29315
6.3 9.92141
6.5 10.5552
6.7 11.1939
6.9 11.8374
7.1 12.485
7.3 13.1359
7.5 13.7899
7.7 14.4469
7.9 15.1062
1.9 0.000282462
1.7 0.044296
1.5 0.205081
1.3 0.50847
1.1 0.988328
