TTH_HAD_PTH_0_60_Tag0 chi2 
0.32646 0
0.1 18.5974
0.3 0.131975
0.5 0.0921694
0.7 0.224655
0.9 0.381151
2.1 1.66377
2.3 1.91668
2.5 2.17716
2.7 2.44435
2.9 2.7174
3.1 2.9956
3.3 3.27844
3.5 3.56525
3.7 3.85573
3.9 4.14948
4.1 4.44583
4.3 4.74502
4.5 5.04651
4.7 5.35002
4.9 5.65509
5.1 5.96189
5.3 6.27029
5.5 6.57998
5.7 6.89066
5.9 7.20233
6.1 7.51486
6.3 7.82807
6.5 8.14198
6.7 8.45631
6.9 8.77108
7.1 9.08601
7.3 9.40122
7.5 9.7166
7.7 10.032
7.9 10.3475
1.1 0.558124
1.3 0.752691
1.5 0.962407
1.7 1.1852
1.9 1.41963
