TTH_LEP_PTH_0_60_Tag2 chi2 
2.42757 0
0.9 0.504165
0.7 0.658322
0.5 0.836992
0.3 2.00823
2.1 0.0204994
2.3 0.00305337
2.5 0.000968308
2.7 0.0133433
2.9 0.0394585
3.1 0.0784713
3.3 0.129666
3.5 0.192354
3.7 0.265886
3.9 0.349641
4.1 0.443069
4.3 0.545575
4.5 0.656672
4.7 0.775968
4.9 0.902734
5.1 1.03689
5.3 1.17775
5.5 1.32519
5.7 1.47864
5.9 1.63791
6.1 1.8028
6.3 1.97279
6.5 2.14785
6.7 2.32761
6.9 2.51169
7.1 2.70027
7.3 2.8928
7.5 3.08911
7.7 3.28954
7.9 3.49314
1.9 0.0543671
1.7 0.105331
1.5 0.174705
1.3 0.263517
1.1 0.372897
