TTH_HAD_PTH_60_120_Tag2 chi2 
1.60418 0
0.9 0.414746
0.7 0.70341
0.5 1.07922
0.3 3.48754
2.1 0.174031
2.3 0.33371
2.5 0.538595
2.7 0.784722
2.9 1.06856
3.1 1.38704
3.3 1.73747
3.5 2.11752
3.7 2.52509
3.9 2.95824
4.1 3.41522
4.3 3.89416
4.5 4.39314
4.7 4.91066
4.9 5.44538
5.1 5.99572
5.3 6.5607
5.5 7.13936
5.7 7.73076
5.9 8.33363
6.1 8.94756
6.3 9.57135
6.5 10.2045
6.7 10.8466
6.9 11.4964
7.1 12.1538
7.3 12.8181
7.5 13.4886
7.7 14.1652
7.9 14.8472
1.1 0.206701
1.3 0.0732284
1.5 0.00838272
1.7 0.00683725
1.9 0.0636681
