TTH_LEP_PTH_200_300_Tag0 chi2 
1.12509 0
0.9 0.0750134
0.7 0.29524
0.5 0.713279
0.3 1.42262
0.1 19.3575
2.1 0.894775
2.3 1.22477
2.5 1.58574
2.7 1.97274
2.9 2.38179
3.1 2.80981
3.3 3.25408
3.5 3.71254
3.7 4.18323
3.9 4.66475
4.1 5.15566
4.3 5.65462
4.5 6.16063
4.7 6.67282
4.9 7.19016
5.1 7.71203
5.3 8.2379
5.5 8.76727
5.7 9.29953
5.9 9.83416
6.1 10.371
6.3 10.9095
6.5 11.4497
6.7 11.9908
6.9 12.5329
7.1 13.0757
7.3 13.619
7.5 14.163
7.7 14.7067
7.9 15.2508
1.1 0.000866824
1.3 0.0378994
1.5 0.161589
1.7 0.35406
1.9 0.601862
