TTH_HAD_PTH_0_60_Tag2 chi2 
1.30238 0
0.9 0.0511462
0.7 0.116672
0.5 0.210716
0.3 2.43213
2.1 0.0604615
2.3 0.117789
2.5 0.195283
2.7 0.291881
2.9 0.406102
3.1 0.536891
3.3 0.683555
3.5 0.844939
3.7 1.02021
3.9 1.20834
4.1 1.40869
4.3 1.62066
4.5 1.84315
4.7 2.07593
4.9 2.31831
5.1 2.56971
5.3 2.82973
5.5 3.09799
5.7 3.37399
5.9 3.65735
6.1 3.94753
6.3 4.24429
6.5 4.54737
6.7 4.85614
6.9 5.17038
7.1 5.48962
7.3 5.81389
7.5 6.1426
7.7 6.47574
7.9 6.81276
1.1 0.0127109
1.3 -2.20103e-06
1.5 0.0117035
1.7 0.0107833
1.9 0.0243088
