TTH_LEP_PTH_0_60_Tag1 chi2 
0.327596 0
0.1 14.6677
0.3 0.102465
0.5 0.015882
0.7 0.0680439
0.9 0.148816
2.1 0.999943
2.3 1.18025
2.5 1.36769
2.7 1.56139
2.9 1.76058
3.1 1.96465
3.3 2.17299
3.5 2.38517
3.7 2.60074
3.9 2.81944
4.1 3.04088
4.3 3.26481
4.5 3.49084
4.7 3.71901
4.9 3.94906
5.1 4.1808
5.3 4.41409
5.5 4.64878
5.7 4.88477
5.9 5.12192
6.1 5.36016
6.3 5.59939
6.5 5.83949
6.7 6.08023
6.9 6.32189
7.1 6.56423
7.3 6.80719
7.5 7.05087
7.7 7.2947
7.9 7.53915
1.1 0.252747
1.3 0.375493
1.5 0.513837
1.7 0.665283
1.9 0.827849
