TTH_HAD_PTH_60_120_Tag0 chi2 
1.45057 0
0.9 0.369974
0.7 0.766019
0.5 1.38792
0.3 2.33459
0.1 12.5837
2.1 0.320653
2.3 0.51652
2.5 0.744732
2.7 1.0003
2.9 1.27914
3.1 1.578
3.3 1.89424
3.5 2.2256
3.7 2.57041
3.9 2.92708
4.1 3.2943
4.3 3.67101
4.5 4.056
4.7 4.44852
4.9 4.84774
5.1 5.25284
5.3 5.66312
5.5 6.07814
5.7 6.4973
5.9 6.92024
6.1 7.34642
6.3 7.77581
6.5 8.20767
6.7 8.64214
6.9 9.07863
7.1 9.51711
7.3 9.95726
7.5 10.399
7.7 10.8418
7.9 11.2861
1.1 0.136187
1.3 0.0230151
1.5 0.00231448
1.7 0.0539667
1.9 0.163719
