TTH_HAD_PTH_200_300_Tag2 chi2 
0.349581 0
0.3 0.524336
0.5 0.0101087
0.7 0.0491907
0.9 0.11439
2.1 0.921344
2.3 1.10745
2.5 1.30438
2.7 1.51085
2.9 1.72637
3.1 1.94971
3.3 2.18039
3.5 2.4176
3.7 2.66098
3.9 2.91
4.1 3.16417
4.3 3.42306
4.5 3.68659
4.7 3.95405
4.9 4.22549
5.1 4.50054
5.3 4.77895
5.5 5.06055
5.7 5.34505
5.9 5.6323
6.1 5.92212
6.3 6.21434
6.5 6.50612
6.7 6.79858
6.9 7.09303
7.1 7.38935
7.3 7.68742
7.5 7.98714
7.7 8.28835
7.9 8.59088
1.1 0.203185
1.3 0.312997
1.5 0.441586
1.7 0.587139
1.9 0.747485
