TTH_HAD_PTH_200_300_Tag1 chi2 
2.55249 0
0.9 1.34072
0.7 1.79327
0.5 2.35367
0.3 3.0876
2.1 0.0743366
2.3 0.0222172
2.5 0.000952872
2.7 0.00690485
2.9 0.0371488
3.1 0.0891625
3.3 0.160753
3.5 0.249978
3.7 0.355186
3.9 0.474888
4.1 0.607822
4.3 0.752671
4.5 0.908673
4.7 1.07471
4.9 1.25021
5.1 1.43414
5.3 1.6262
5.5 1.82542
5.7 2.0315
5.9 2.244
6.1 2.46237
6.3 2.6863
6.5 2.91538
6.7 3.14929
6.9 3.38778
7.1 3.63042
7.3 3.87717
7.5 4.12774
7.7 4.38179
7.9 4.63927
1.9 0.161378
1.7 0.288391
1.5 0.461417
1.3 0.687958
1.1 0.97721
