TTH_LEP_PTH_60_120_Tag2 chi2 
1.37372 0
0.9 0.148965
0.7 0.316274
0.5 0.559974
0.3 1.17603
2.1 0.271073
2.3 0.424717
2.5 0.605543
2.7 0.810625
2.9 1.03749
3.1 1.28386
3.3 1.54794
3.5 1.82805
3.7 2.12277
3.9 2.43089
4.1 2.75121
4.3 3.0829
4.5 3.42501
4.7 3.77688
4.9 4.13744
5.1 4.50633
5.3 4.88303
5.5 5.26629
5.7 5.65618
5.9 6.05189
6.1 6.45307
6.3 6.85927
6.5 7.27017
6.7 7.68537
6.9 8.1046
7.1 8.52756
7.3 8.95405
7.5 9.38367
7.7 9.81627
7.9 10.2517
1.1 0.0474598
1.3 0.00328556
1.5 0.00934051
1.7 0.0593233
1.9 0.147946
