RECO_TTH_HAD_PTH_120_200_Tag3 chi2 
2.66316 0
0.353 1.49337
0.051 1.96812
3.071 -0.00892489
3.373 0.0651606
3.675 0.175828
3.977 0.319842
4.279 0.494961
4.581 0.698748
4.883 0.929506
5.185 1.1852
5.487 1.46419
5.789 1.76489
0.957 0.752644
0.655 1.08801
6.091 2.08592
6.393 2.42595
6.695 2.78397
6.997 3.14065
7.299 3.49542
7.601 3.86693
7.903 4.25374
8.205 4.65542
8.507 5.07118
8.809 5.50002
9.111 5.94145
9.413 6.39497
9.715 6.8599
10.017 7.33566
10.319 7.82188
10.621 8.31785
10.923 8.82319
11.225 9.33748
11.527 9.86034
11.829 10.3913
1.561 0.267595
1.259 0.482489
12.131 10.9301
12.433 11.4764
12.735 12.0297
13.037 12.5899
13.339 13.1565
13.641 13.7293
13.943 14.308
14.245 14.8922
14.547 15.4816
14.849 16.0763
2.165 0.014024
1.863 0.114615
2.769 -0.044358
2.467 -0.037831
