RECO_TTH_HAD_PTH_0_60_Tag2 chi2 
0.1265 0.111283
-0.0245 0.223443
1.4855 -0.281171
1.6365 -0.263932
1.7875 -0.265954
1.9385 -0.259257
2.0895 -0.241523
2.2405 -0.213094
2.3915 -0.174266
2.5425 -0.125377
2.6935 -0.0666785
2.8445 0.00152562
0.4285 -0.0687066
0.2775 0.0140664
2.9955 0.0789874
3.1465 0.165441
3.2975 0.260638
3.4485 0.364344
3.5995 0.476316
3.7505 0.596347
3.9015 0.724224
4.0525 0.859741
4.2035 1.00269
4.3545 1.15289
4.5055 1.31018
4.6565 1.47435
4.8075 1.64526
4.9585 1.82272
5.1095 2.00658
5.2605 2.19669
5.4115 2.3929
5.5625 2.59507
5.7135 2.80305
5.8645 3.01671
0.7305 -0.192805
0.5795 -0.137512
6.0155 3.23593
6.1665 3.46055
6.3175 3.69049
6.4685 3.92563
6.6195 4.16583
6.7705 4.411
6.9215 4.66102
7.0725 4.91581
7.2235 5.17521
7.3745 5.43918
7.5255 5.70761
7.6765 5.98039
7.8275 6.25745
7.9785 6.53869
8.1295 6.82403
8.2805 7.11339
8.4315 7.40669
8.5825 7.70384
8.7335 8.00477
8.8845 8.30942
1.0325 -0.264576
0.8815 -0.235056
9.0355 8.61769
9.1865 8.92954
9.3375 9.24488
9.4885 9.56365
9.6395 9.88579
9.7905 10.2112
9.9415 10.5399
10.0925 10.8718
10.2435 11.2067
10.3945 11.5448
10.5455 11.8858
10.6965 12.2298
10.8475 12.5767
10.9985 12.9265
11.1495 13.2791
11.3005 13.6344
11.4515 13.9924
11.6025 14.3531
11.7535 14.7164
11.9045 15.0822
1.3345 -0.287285
1.1835 -0.281868
12.0555 15.4506
12.2065 15.8214
12.3575 16.1947
12.5085 16.5704
12.6595 16.9484
12.8105 17.3288
12.9615 17.7114
13.1125 18.0963
13.2635 18.4833
13.4145 18.8725
13.5655 19.2639
13.7165 19.6574
