RECO_VBFTOPO_BSM_Tag1 chi2 
1.12024 0
0.203 2.06226
0.001 3.29135
2.021 1.28078
2.223 1.86938
2.425 2.53973
2.627 3.28898
2.829 4.09836
3.031 4.96162
3.233 5.88494
3.435 6.85796
3.637 7.88209
3.839 8.94281
0.607 0.543324
0.405 1.16366
4.041 10.0423
4.243 11.1719
4.445 12.3405
4.647 13.5396
4.849 14.7669
5.051 16.0202
5.253 17.2977
5.455 18.5978
5.657 19.9188
1.011 -0.0166742
0.809 0.159217
1.213 -0.0303768
1.415 0.113566
1.617 0.390286
1.819 0.783802
