RECO_TTH_HAD_PTH_60_120_Tag0 chi2 
1.47539 0
0.353 2.1866
0.051 4.56707
3.071 1.51604
3.373 2.02769
3.675 2.56601
3.977 3.14227
4.279 3.74538
4.581 4.37183
4.883 5.01828
5.185 5.68203
5.487 6.36085
5.789 7.05288
0.957 0.282873
0.655 0.927458
6.091 7.75652
6.393 8.47041
6.695 9.19339
6.997 9.92441
7.299 10.6626
7.601 11.4071
7.903 12.1574
8.205 12.9127
8.507 13.6725
8.809 14.4364
9.111 15.2038
9.413 15.9744
9.715 16.7479
10.017 17.5238
10.319 18.302
10.621 19.082
10.923 19.8638
1.561 -0.0340626
1.259 0.00316965
1.863 0.0808938
2.165 0.321781
2.467 0.653689
2.769 1.0564
