RECO_TTH_HAD_PTH_0_60_Tag1 chi2 
2.84843 0
0.1265 0.685819
-0.0245 0.792114
1.6365 0.065829
1.4855 0.0988278
1.9385 0.0141174
1.7875 0.0377728
2.8484 0
0.4285 0.502876
0.2775 0.589669
3.7505 0.000742516
3.9015 0.0169582
4.0525 0.0353653
4.2035 0.0557632
4.3545 0.0780662
4.8075 0.155353
4.9585 0.184553
5.1095 0.215121
5.2605 0.247221
5.4115 0.280606
5.5625 0.315423
5.7135 0.351553
5.8645 0.38886
0.7305 0.348966
0.5795 0.419166
6.0155 0.427285
6.1665 0.46696
6.3175 0.50775
6.4685 0.549595
6.6195 0.59246
6.7705 0.636312
6.9215 0.681114
7.0725 0.726832
7.2235 0.773428
7.3745 0.820879
7.5255 0.869154
7.6765 0.918225
7.8275 0.968069
7.9785 1.01865
8.1295 1.06995
8.2805 1.1218
8.4315 1.17447
8.5825 1.22778
8.7335 1.28173
8.8845 1.33628
1.0325 0.230318
0.8815 0.28625
9.0355 1.39142
9.1865 1.44713
9.3375 1.50339
9.4885 1.56018
9.6395 1.61749
9.7905 1.67531
9.9415 1.73361
10.0925 1.79239
10.2435 1.85159
10.3945 1.91127
10.5455 1.97139
10.6965 2.03192
10.8475 2.09287
10.9985 2.15421
11.1495 2.21593
11.3005 2.27803
11.4515 2.34049
11.6025 2.4033
11.7535 2.46646
11.9045 2.52995
1.3345 0.136985
1.1835 0.180621
12.0555 2.59377
12.2065 2.65791
12.3575 2.72235
12.5085 2.78709
12.6595 2.85213
12.8105 2.91746
12.9615 2.98305
13.1125 3.04892
13.2635 3.11505
13.4145 3.18144
13.5655 3.24802
13.7165 3.31495
13.8675 3.38202
14.0185 3.44937
14.1695 3.51694
14.3205 3.58474
14.4715 3.65275
14.6225 3.72098
14.7735 3.7894
14.9245 3.85803
