RECO_VBFTOPO_JET3VETO_HIGHMJJ_Tag0 chi2 
0.43481 0
0.0515 2.25559
-0.0495 3.80549
0.9605 1.82641
1.0615 2.43478
1.1625 3.08673
1.2635 3.77517
1.3645 4.49425
1.4655 5.23975
1.5665 6.0078
1.6675 6.79554
1.7685 7.60059
1.8695 8.42114
0.2535 0.400604
0.1525 1.12735
1.9705 9.2557
2.0715 10.103
2.1725 10.962
2.2735 11.8319
2.3745 12.7118
2.4755 13.6013
2.5765 14.4996
2.6775 15.4064
2.7785 16.3211
2.8795 17.2434
2.9805 18.1727
3.0815 19.1143
0.3545 0.0336937
0.5565 0.104817
0.6575 0.386663
0.7585 0.783997
0.8595 1.27138
