RECO_PTH_450_650_Tag0 chi2 
3.01671 0
0.353 3.63974
0.051 4.75174
3.071 -0.0463373
3.373 -0.0151441
3.675 0.0576903
3.977 0.171814
4.279 0.313572
4.581 0.484331
4.883 0.681433
5.185 0.902584
5.487 1.14585
5.789 1.40956
0.957 1.82772
0.655 2.64982
6.091 1.69228
6.393 1.99272
6.695 2.30972
6.997 2.64212
7.299 2.98931
7.601 3.35025
7.903 3.72414
8.205 4.11021
8.507 4.50775
8.809 4.91621
9.111 5.3295
9.413 5.76342
9.715 6.20138
10.017 6.64824
10.319 7.10359
10.621 7.56704
10.923 8.03824
11.225 8.51684
11.527 8.99717
11.829 9.48966
1.561 0.735365
1.259 1.19693
12.131 9.99397
12.433 10.4938
12.735 11.005
13.037 11.522
13.339 12.0444
13.641 12.5722
13.943 13.1051
14.245 13.643
14.547 14.1856
14.849 14.7327
2.165 0.183982
1.863 0.407485
2.769 -0.0296608
2.467 0.0433313
