RECO_VBFTOPO_BSM_Tag0 chi2 
1.32153 0
0.203 8.05647
0.001 12.3928
2.021 1.65742
2.223 2.54241
2.425 3.61314
2.627 4.83857
2.829 6.15875
3.031 7.60704
3.233 9.16813
3.435 10.8289
3.637 12.5783
3.839 14.4068
0.607 2.74899
0.405 4.93735
4.041 16.306
4.243 18.2688
1.011 0.412376
0.809 1.28873
1.415 -0.0118722
1.213 0.00734341
1.617 0.296095
1.819 0.87042
