RECO_VBFTOPO_BSM_Tag0 chi2 
0.0515 10.3204
-0.0495 12.4607
1.0615 0.244113
0.9605 0.606833
1.2635 -0.18909
1.1625 -0.0186189
1.4655 -0.280005
1.3645 -0.273127
1.5665 -0.214371
1.6675 -0.0799255
1.7685 0.118153
1.8695 0.375484
0.2535 6.84418
0.1525 8.45748
1.9705 0.688228
2.0715 0.983797
2.1725 1.33478
2.2735 1.73666
2.3745 2.18625
2.4755 2.66443
2.5765 3.16898
2.6775 3.71521
2.7785 4.30072
2.8795 4.92339
2.9805 5.58117
3.0815 6.2722
3.1825 6.99479
3.2835 7.74734
3.3845 8.52838
3.4855 9.33653
3.5865 10.1705
3.6875 11.0292
3.7885 11.9113
3.8895 12.816
0.4555 4.2669
0.3545 5.45756
3.9905 13.7422
4.0915 14.6889
4.1925 15.6554
4.2935 16.6408
4.3945 17.6436
4.4955 18.6636
4.5965 19.7004
0.6575 2.38812
0.5565 3.24956
0.8595 1.07839
0.7585 1.66859
