RECO_1J_PTH_0_60_Tag2 chi2 
0.1265 6.11807
-0.0245 7.11019
1.6365 -0.178874
1.4855 0.0201249
1.7875 -0.276353
1.9385 -0.272799
2.0895 -0.168435
2.2405 0.0358861
2.3915 0.339514
2.5425 0.741021
2.6935 1.23547
2.8445 1.82571
0.4285 4.15637
0.2775 5.08606
2.9955 2.25063
3.1465 2.71321
3.2975 3.25912
3.4485 3.8893
3.5995 4.60255
3.7505 5.39805
3.9015 6.27497
4.0525 7.2323
4.2035 8.26894
4.3545 9.38436
4.5055 10.5758
4.6565 11.8454
4.8075 13.1906
4.9585 14.6105
5.1095 16.1041
5.2605 17.6704
5.4115 19.3082
0.7305 2.52727
0.5795 3.32991
1.0325 1.21522
0.8815 1.8199
1.3345 0.316661
1.1835 0.713212
