RECO_TTH_LEP_PTH_200_300_Tag0 chi2 
0.1265 1.99107
-0.0245 2.94536
1.4855 -0.199869
1.6365 -0.0920898
1.7875 0.0511444
1.9385 0.225597
2.0895 0.42772
2.2405 0.654518
2.3915 0.903457
2.5425 1.17237
2.6935 1.45937
2.8445 1.76289
0.4285 0.69633
0.2775 1.24358
2.9955 2.08147
3.1465 2.41388
3.2975 2.75902
3.4485 3.11592
3.5995 3.4837
3.7505 3.86159
3.9015 4.24889
4.0525 4.64498
4.2035 5.04927
4.3545 5.46125
4.5055 5.88045
4.6565 6.30646
4.8075 6.73883
4.9585 7.17724
5.1095 7.62133
5.2605 8.07085
5.4115 8.52546
5.5625 8.98489
5.7135 9.4489
5.8645 9.91735
0.7305 0.027235
0.5795 0.301944
6.0155 10.3899
6.1665 10.8665
6.3175 11.3468
6.4685 11.8307
6.6195 12.3181
6.7705 12.8087
6.9215 13.3026
7.0725 13.7994
7.2235 14.2991
7.3745 14.8016
7.5255 15.3067
7.6765 15.8144
7.8275 16.3246
7.9785 16.8371
8.1295 17.3518
8.2805 17.8688
8.4315 18.3879
8.5825 18.909
8.7335 19.432
8.8845 19.9569
1.0325 -0.251859
0.8815 -0.151581
1.1835 -0.286958
1.3345 -0.266946
