RECO_WH_LEP_PTV_75_150_Tag0 chi2 
1.28604 0
0.0515 1.97516
-0.0495 2.41896
1.0615 0.00825263
0.9605 0.0586264
1.5665 0.0200012
1.6675 0.0745869
1.7685 0.143779
1.8695 0.226659
0.2535 1.26488
0.1525 1.59304
1.9705 0.322385
2.0715 0.430345
2.3745 0.820884
2.4755 0.97146
2.5765 1.13139
2.6775 1.30014
2.7785 1.47751
2.8795 1.66287
2.9805 1.85603
3.0815 2.06173
3.1825 2.26937
3.2835 2.48363
3.3845 2.70457
3.4855 2.93175
3.5865 3.16492
3.6875 3.40385
3.7885 3.64325
3.8895 3.8981
0.4555 0.746278
0.3545 0.984404
3.9905 4.15301
4.0915 4.41287
4.1925 4.67244
4.2935 4.94669
4.3945 5.22033
4.4955 5.48755
4.5965 5.75588
4.6975 6.0286
4.7985 6.30541
4.8995 6.58645
5.0005 6.87145
5.1015 7.16027
5.2025 7.4528
5.3035 7.74891
5.4045 8.04848
5.5055 8.35142
5.6065 8.65762
5.7075 8.96698
5.8085 9.27929
5.9095 9.58996
0.6575 0.380312
0.5565 0.546141
6.0105 9.90824
6.1115 10.2292
6.2125 10.553
6.3135 10.8795
6.4145 11.2134
6.5155 11.5449
6.6165 11.8788
6.7175 12.2152
6.8185 12.5489
6.9195 12.8898
7.0205 13.2328
7.1215 13.578
7.2225 13.9252
7.3235 14.2744
7.4245 14.6257
7.5255 14.9788
7.6265 15.3338
7.7275 15.6906
7.8285 16.0491
7.9295 16.4094
0.8595 0.139112
0.7585 0.245529
8.0305 16.7714
8.1315 17.135
8.2325 17.5003
8.3335 17.8671
8.6365 18.9766
8.7375 19.3493
8.8385 19.7234
