RECO_TTH_HAD_PTH_GT300_Tag0 chi2 
1.63656 0
0.353 3.41924
0.051 7.00321
3.071 1.27804
3.373 1.7507
3.675 2.25885
3.977 2.79501
4.279 3.34782
4.581 3.92975
4.883 4.51469
5.185 5.11689
5.487 5.72829
5.789 6.34705
0.957 0.591846
0.655 1.5556
6.091 6.97183
6.393 7.60133
6.695 8.23444
6.997 8.87037
7.299 9.5083
7.601 10.1531
7.903 10.7934
8.205 11.4286
8.507 12.0693
8.809 12.7097
9.111 13.3496
9.413 13.9887
9.715 14.6269
10.017 15.2639
10.319 15.8996
10.621 16.5339
10.923 17.1665
11.225 17.7975
11.527 18.4269
11.829 19.0543
1.561 -0.0410048
1.259 0.124793
12.131 19.68
1.863 0.000453819
2.165 0.186576
2.467 0.482439
2.769 0.850793
