RECO_GE2J_PTH_0_60_Tag0 chi2 
0.1265 0.921513
-0.0245 1.15689
1.6365 -0.277937
1.4855 -0.249117
1.7875 -0.287273
1.9385 -0.27741
2.0895 -0.248535
2.2405 -0.201024
2.3915 -0.134976
2.5425 -0.0510655
2.6935 0.0495072
2.8445 0.167187
0.4285 0.515115
0.2775 0.707638
2.9955 0.303058
3.1465 0.455806
3.2975 0.624972
3.4485 0.810308
3.5995 1.01139
3.7505 1.22813
3.9015 1.46015
4.0525 1.69929
4.2035 1.89486
4.3545 2.10459
4.5055 2.3283
4.6565 2.56572
4.8075 2.81664
4.9585 3.08065
5.1095 3.3575
5.2605 3.64694
5.4115 3.94863
5.5625 4.26248
5.7135 4.58813
5.8645 4.92529
0.7305 0.195407
0.5795 0.343783
6.0155 5.27379
6.1665 5.63335
6.3175 6.00373
6.4685 6.38486
6.6195 6.7756
6.7705 7.17697
6.9215 7.58851
7.0725 8.0095
7.2235 8.4399
7.3745 8.88045
7.5255 9.33115
7.6765 9.79167
7.8275 10.2618
7.9785 10.7414
8.1295 11.2301
8.2805 11.7278
8.4315 12.2342
8.5825 12.7492
8.7335 13.2727
8.8845 13.8041
1.0325 -0.0432764
0.8815 0.0658634
9.0355 14.3438
9.1865 14.8909
9.3375 15.4458
9.4885 16.0082
9.6395 16.5776
9.7905 17.1542
9.9415 17.7376
10.0925 18.3278
10.2435 18.9246
10.3945 19.5277
1.3345 -0.200566
1.1835 -0.132033
