RECO_TTH_HAD_PTH_60_120_Tag0 chi2 
0.1265 3.37077
-0.0245 4.81819
1.4855 -0.28726
1.6365 -0.265046
1.7875 -0.20579
1.9385 -0.114674
2.0895 0.00409617
2.2405 0.147114
2.3915 0.311497
2.5425 0.494874
2.6935 0.695231
2.8445 0.910787
0.4285 1.48564
0.2775 2.28764
2.9955 1.14015
3.1465 1.38198
3.2975 1.63517
3.4485 1.89873
3.5995 2.17181
3.7505 2.45365
3.9015 2.74355
4.0525 3.04091
4.2035 3.34519
4.3545 3.6559
4.5055 3.97258
4.6565 4.29485
4.8075 4.62233
4.9585 4.95469
5.1095 5.29161
5.2605 5.63285
5.4115 5.97812
5.5625 6.3272
5.7135 6.67987
5.8645 7.03592
0.7305 0.464202
0.5795 0.89507
6.0155 7.39517
6.1665 7.75744
6.3175 8.12257
6.4685 8.49043
6.6195 8.86087
6.7705 9.23372
6.9215 9.60891
7.0725 9.98631
7.2235 10.3658
7.3745 10.7473
7.5255 11.1307
7.6765 11.5159
7.8275 11.9029
7.9785 12.2915
8.1295 12.6816
8.2805 13.0733
8.4315 13.4666
8.5825 13.8609
8.7335 14.2568
8.8845 14.6538
1.0325 -0.057032
0.8815 0.155576
9.0355 15.0521
9.1865 15.4516
9.3375 15.8521
9.4885 16.2537
9.6395 16.6563
9.7905 17.0599
9.9415 17.4644
10.0925 17.8698
10.2435 18.276
10.3945 18.6831
10.5455 19.091
10.6965 19.4996
10.8475 19.9089
1.3345 -0.265926
1.1835 -0.192763
