RECO_TTH_LEP_PTH_0_60_Tag1 chi2 
0.217089 0
0.353 -0.0365632
0.051 -0.0228326
3.071 2.12846
3.373 2.47123
3.675 2.82366
3.977 3.1847
4.279 3.55325
4.581 3.92843
4.883 4.30945
5.185 4.69584
5.487 5.08699
5.789 5.48242
0.655 0.0489756
0.957 0.199178
6.091 5.88174
6.393 6.28459
6.695 6.69556
6.997 7.10457
7.299 7.51626
7.601 7.9304
7.903 8.34679
8.205 8.76523
8.507 9.18559
8.809 9.60771
9.111 10.0314
9.413 10.4567
9.715 10.8833
10.017 11.3111
10.319 11.7402
10.621 12.1703
10.923 12.6015
11.225 13.0335
11.527 13.4664
11.829 13.9001
1.259 0.396721
1.561 0.630142
12.131 14.3346
12.433 14.7696
12.735 15.2053
13.037 15.6415
13.339 16.078
13.641 16.5152
13.943 16.9528
14.245 17.3907
14.547 17.8289
14.849 18.2675
1.863 0.891674
2.165 1.17589
2.467 1.47863
2.769 1.79697
