RECO_VBFTOPO_JET3_LOWMJJ_Tag0 chi2 
2.63136 0
0.203 4.72396
0.001 5.62952
2.223 0.0727785
2.021 0.217854
2.627 -0.0468752
2.425 -0.0181843
2.829 -0.0223874
3.031 0.0520373
3.233 0.173405
3.435 0.338641
3.637 0.409182
3.839 0.534284
0.607 3.16579
0.405 3.90467
4.041 0.699754
4.243 0.902905
4.849 1.71473
5.051 2.04695
5.253 2.40734
5.455 2.79412
5.657 3.20556
5.859 3.63984
6.061 4.09612
6.263 4.57284
6.465 5.06872
6.667 5.58276
6.869 6.11391
7.071 6.66101
7.273 7.22328
7.475 7.79988
7.677 8.39007
7.879 8.99313
1.011 1.94518
0.809 2.51497
8.081 9.60841
8.283 10.2353
8.485 10.8733
8.687 11.5218
8.889 12.087
9.091 12.7543
9.293 13.4305
9.495 14.1155
9.697 14.8089
9.899 15.5101
1.415 1.03777
1.213 1.45373
1.819 0.420151
1.617 0.694251
