RECO_VH_MET_Tag2 chi2 
-0.1 0
-0.049 -0.0242027
0.053 0.0341021
0.971 1.25033
1.073 1.38036
1.175 1.51893
1.277 1.66564
1.379 1.83147
1.481 2.01029
1.583 2.20159
1.685 2.40481
1.787 2.62558
1.889 2.84634
0.155 0.10924
0.257 0.200869
1.991 3.08377
2.093 3.33184
2.195 3.59021
2.297 3.8586
2.399 4.13671
2.501 4.42423
2.603 4.72086
2.705 5.02634
2.807 5.34036
2.909 5.66277
3.011 5.99328
3.113 6.33166
3.215 6.6777
3.317 7.03116
3.419 7.39186
3.521 7.75958
3.623 8.13385
3.725 8.51507
3.827 8.90276
3.929 9.29682
0.359 0.308335
0.461 0.43105
4.031 9.69696
4.133 10.1031
4.235 10.515
4.337 10.9327
4.439 11.3558
4.541 11.7844
4.643 12.2182
4.745 12.6572
4.847 13.1011
4.949 13.55
0.563 0.568489
0.665 0.720246
0.767 0.885812
0.869 1.06462
