RECO_WH_LEP_PTV_75_150_Tag1 chi2 
2.3068 0
0.203 3.64712
0.001 4.58083
2.223 -0.036729
2.021 0.003292
2.425 -0.0389289
2.627 0.0106048
2.829 0.102644
3.031 0.233978
3.233 0.401768
3.435 0.603433
3.637 0.836819
3.839 1.09975
4.849 2.74308
5.051 3.13083
6.061 5.35324
6.263 5.84776
6.465 6.35627
6.667 6.87891
6.869 7.41505
7.071 7.96406
7.273 8.52538
7.475 9.09847
1.011 1.15845
0.809 1.62143
8.081 10.8785
8.283 11.4939
8.485 12.1189
8.687 12.753
8.889 13.396
9.091 14.0474
1.415 0.487241
1.213 0.783291
1.819 0.103295
1.617 0.262798
