RECO_WH_LEP_PTV_GT150_Tag0 chi2 
1.36299 0
2.021 0.577473
2.223 0.95635
2.425 1.39949
2.627 1.8977
2.829 2.44361
3.031 3.03107
3.233 3.65525
3.435 4.31226
3.637 4.99825
3.839 5.7104
4.041 6.44615
4.243 7.2033
4.445 7.97995
4.647 8.77424
4.849 9.58499
5.051 10.4107
5.253 11.2502
5.455 12.1023
5.657 12.966
5.859 13.8405
6.061 14.725
6.263 15.6188
6.465 16.5212
6.667 17.4317
6.869 18.3443
7.071 19.2746
1.617 0.0579477
1.819 0.26962
