RECO_TTH_LEP_PTH_60_120_Tag2 chi2 
1.37354 0
0.353 0.750814
0.051 1.40989
3.071 1.24331
3.373 1.66576
3.675 2.12839
3.977 2.62651
4.279 3.15613
4.581 3.71377
4.883 4.29704
5.185 4.90297
5.487 5.52947
5.789 6.17454
0.957 0.0675407
0.655 0.319092
6.091 6.83681
6.393 7.51463
6.695 8.20668
6.997 8.91178
7.299 9.62889
7.601 10.357
7.903 11.0953
8.205 11.8431
8.507 12.5995
8.809 13.3639
9.111 14.1358
9.413 14.9146
9.715 15.6999
10.017 16.4911
10.319 17.2878
10.621 18.0944
10.923 18.9011
11.225 19.7123
1.259 -0.0387888
1.561 -0.026474
1.863 0.0842967
2.165 0.277944
2.467 0.542032
2.769 0.866465
