RECO_VBFTOPO_JET3_HIGHMJJ_Tag1 chi2 
0.0515 0.523566
-0.0495 0.710867
0.9605 -0.285684
1.0615 -0.284341
1.1625 -0.264961
1.2635 -0.228234
1.3645 -0.174517
1.4655 -0.103726
1.5665 -0.0206629
1.6675 0.0822974
1.7685 0.201336
1.8695 0.336229
0.2535 0.211498
0.1525 0.357573
1.9705 0.48687
2.0715 0.652887
2.1725 0.834069
2.2735 1.03027
2.3745 1.24113
2.4755 1.46754
2.5765 1.70692
2.6775 1.96069
2.7785 2.22813
2.8795 2.50914
2.9805 2.80342
3.0815 3.11068
3.1825 3.43093
3.2835 3.76365
3.3845 4.10904
3.4855 4.46646
3.5865 4.83588
3.6875 5.21712
3.7885 5.60994
3.8895 6.01415
0.4555 -0.0231457
0.3545 0.0845892
3.9905 6.42953
4.0915 6.8559
4.1925 7.29308
4.2935 7.74088
4.3945 8.19915
4.4955 8.66758
4.5965 9.14619
4.6975 9.6347
4.7985 10.1329
4.8995 10.6407
5.0005 11.158
5.1015 11.6846
5.2025 12.2202
5.3035 12.7648
5.4045 13.3182
5.5055 13.8803
5.6065 14.451
5.7075 15.0299
5.8085 15.6171
5.9095 16.2123
0.6575 -0.179929
0.5565 -0.107503
6.0105 16.8156
6.1115 17.4266
6.2125 18.0454
6.3135 18.6717
6.4145 19.3055
6.5155 19.9466
0.8595 -0.268802
0.7585 -0.233708
