RECO_TTH_HAD_PTH_120_200_Tag2 chi2 
-0.1 0
0.051 0.0526814
0.353 0.306589
3.071 4.33122
3.373 4.87653
3.675 5.43679
3.977 6.00172
4.279 6.57464
4.581 7.15452
4.883 7.74026
5.185 8.33087
5.487 8.92569
5.789 9.52413
0.655 0.620927
0.957 0.984626
6.091 10.1257
6.393 10.7299
6.695 11.3365
6.997 11.9449
7.299 12.555
7.601 13.1665
7.903 13.778
8.205 14.382
8.507 14.9971
8.809 15.6082
9.111 16.2151
9.413 16.8271
9.715 17.4391
10.017 18.0511
10.319 18.6632
10.621 19.2751
10.923 19.8866
1.259 1.39403
1.561 1.83063
1.863 2.28834
2.165 2.77392
2.467 3.27795
2.769 3.79782
