RECO_TTH_HAD_PTH_200_300_Tag1 chi2 
2.43131 0
0.353 2.59267
0.051 3.87139
3.071 0.0794047
3.373 0.214453
3.675 0.388853
3.977 0.602754
4.279 0.841373
4.581 1.10647
4.883 1.38959
5.185 1.6992
5.487 2.02763
5.789 2.37307
0.957 1.04371
0.655 1.68512
6.091 2.73376
6.393 3.1086
6.695 3.49603
6.997 3.89521
7.299 4.30498
7.601 4.72449
7.903 5.15308
8.205 5.59
8.507 6.03462
8.809 6.48636
9.111 6.95024
9.413 7.41471
9.715 7.87918
10.017 8.35468
10.319 8.84055
10.621 9.31979
10.923 9.80888
11.225 10.3018
11.527 10.7985
11.829 11.2987
1.561 0.275594
1.259 0.58418
12.131 11.8021
12.433 12.3085
12.735 12.8177
13.037 13.3294
13.339 13.8436
13.641 14.36
13.943 14.8786
14.245 15.3993
14.547 15.9218
14.849 16.4459
2.165 -0.0202897
1.863 0.0816034
2.467 -0.0466762
2.769 -0.0102949
