RECO_TTH_LEP_PTH_120_200_Tag1 chi2 
0.1265 4.46356
-0.0245 4.90751
1.6365 1.50314
1.4855 1.70598
1.9385 1.14303
1.7875 1.31578
2.2405 0.837361
2.0895 0.98378
2.5425 0.579446
2.3915 0.702798
2.8445 0.363711
2.6935 0.466813
0.4285 3.67358
0.2775 4.05312
3.1465 0.185549
2.9955 0.270225
3.4485 0.0408734
3.2975 0.109248
3.7505 -0.0737109
3.5995 -0.019986
4.0525 -0.161137
3.9015 -0.120649
4.3545 -0.223993
4.2035 -0.195459
4.6565 -0.264392
4.5055 -0.246847
4.9585 -0.284382
4.8075 -0.276831
5.1095 -0.287253
5.2605 -0.285631
5.4115 -0.279706
5.5625 -0.26963
5.7135 -0.255625
5.8645 -0.237788
0.7305 2.99799
0.5795 3.32261
6.0155 -0.216277
6.1665 -0.191231
6.3175 -0.162776
6.4685 -0.131046
6.6195 -0.096154
6.7705 -0.0582066
6.9215 -0.0173136
7.0725 0.0264463
7.2235 0.0729168
7.3745 0.122076
7.5255 0.173783
7.6765 0.227975
7.8275 0.284642
7.9785 0.343615
8.1295 0.404854
8.2805 0.468289
8.4315 0.533858
8.5825 0.601498
8.7335 0.671143
8.8845 0.742741
1.0325 2.42002
0.8815 2.69777
9.0355 0.816231
9.1865 0.891562
9.3375 0.968683
9.4885 1.04761
9.6395 1.12816
9.7905 1.21027
9.9415 1.29418
10.0925 1.37955
10.2435 1.46645
10.3945 1.55472
10.5455 1.64454
10.6965 1.73577
10.8475 1.82838
10.9985 1.92232
11.1495 2.01758
11.3005 2.11411
11.4515 2.21188
11.6025 2.31087
11.7535 2.41105
11.9045 2.51239
1.3345 1.92557
1.1835 2.16313
12.0555 2.61486
12.2065 2.71844
12.3575 2.8231
12.5085 2.92882
12.6595 3.03558
12.8105 3.14335
12.9615 3.25211
13.1125 3.36184
13.2635 3.47252
13.4145 3.58412
13.5655 3.69662
13.7165 3.81002
13.8675 3.9243
14.0185 4.03943
14.1695 4.1554
14.3205 4.27219
14.4715 4.38977
14.6225 4.50815
14.7735 4.6273
14.9245 4.7472
