RECO_VBFTOPO_JET3VETO_LOWMJJ_Tag0 chi2 
0.0515 -0.266996
-0.0495 -0.205394
0.9605 0.897239
1.0615 1.19765
1.1625 1.52889
1.2635 1.89021
1.3645 2.28059
1.4655 2.6992
1.5665 3.14518
1.6675 3.61771
1.7685 4.116
1.8695 4.63928
0.1525 -0.287117
0.2535 -0.26743
1.9705 5.18681
2.0715 5.75785
2.1725 6.35173
2.2735 6.96777
2.3745 7.60531
2.4755 8.26373
2.5765 8.9424
2.6775 9.64082
2.7785 10.3583
2.8795 11.0944
2.9805 11.8486
3.0815 12.6203
3.1825 13.4091
3.2835 14.2145
3.3845 15.036
3.4855 15.8732
3.5865 16.7257
3.6875 17.593
3.7885 18.475
3.8895 19.3709
0.3545 -0.208933
0.4555 -0.112569
0.5565 0.0204261
0.6575 0.188953
0.7585 0.391952
0.8595 0.628403
