RECO_PTH_450_650_Tag0 chi2 
0.1265 4.05274
-0.0245 4.46967
1.6365 1.09328
1.4855 1.30182
1.9385 0.726483
1.7875 0.901698
2.2405 0.422933
2.0895 0.567083
2.5425 0.178436
2.3915 0.293544
2.8445 -0.0109012
2.6935 0.0770957
0.4285 3.29173
0.2775 3.6604
3.1465 -0.148586
2.9955 -0.0859923
3.4485 -0.237837
3.2975 -0.199076
3.7505 -0.2816
3.5995 -0.26523
3.9015 -0.287281
4.0525 -0.282578
4.2035 -0.267827
4.3545 -0.243128
4.5055 -0.209142
4.6565 -0.165736
4.8075 -0.113612
4.9585 -0.0525908
5.1095 0.016921
5.2605 0.094804
5.4115 0.180537
5.5625 0.274228
5.7135 0.375529
5.8645 0.484285
0.7305 2.62135
0.5795 2.94553
6.0155 0.600297
6.1665 0.723385
6.3175 0.85337
6.4685 0.990091
6.6195 1.13338
6.7705 1.28308
6.9215 1.43903
7.0725 1.60112
7.2235 1.76917
7.3745 1.943
7.5255 2.1226
7.6765 2.30779
7.8275 2.49861
7.9785 2.69441
8.1295 2.89579
8.2805 3.1021
8.4315 3.31341
8.5825 3.52962
8.7335 3.75063
8.8845 3.97633
1.0325 2.03544
0.8815 2.31823
9.0355 4.20663
9.1865 4.44145
9.3375 4.68068
9.4885 4.92425
9.6395 5.17206
9.7905 5.42404
9.9415 5.68008
10.0925 5.94015
10.2435 6.20415
10.3945 6.47201
10.5455 6.74365
10.6965 7.0192
10.8475 7.29821
10.9985 7.5808
11.1495 7.86688
11.3005 8.1563
11.4515 8.44942
11.6025 8.74572
11.7535 9.04529
11.9045 9.34808
1.3345 1.52792
1.1835 1.77226
12.0555 9.65404
12.2065 9.96312
12.3575 10.2753
12.5085 10.5904
12.6595 10.9085
12.8105 11.2295
12.9615 11.5534
13.1125 11.8801
13.2635 12.2096
13.4145 12.5418
13.5655 12.8767
13.7165 13.2142
13.8675 13.5543
14.0185 13.897
14.1695 14.2422
14.3205 14.5899
14.4715 14.9401
14.6225 15.2926
14.7735 15.6476
14.9245 16.005
