RECO_GE2J_PTH_0_60_Tag2 chi2 
-0.0245 -0.257789
0.1265 -0.193783
1.4855 0.683158
1.6365 0.813657
1.7875 0.950695
1.9385 1.09425
2.0895 1.24429
2.2405 1.40081
2.3915 1.56376
2.5425 1.73313
2.6935 1.9089
2.8445 2.09103
0.2775 -0.122998
0.4285 -0.0455355
2.9955 2.27949
3.1465 2.47426
3.2975 2.67531
3.4485 2.8826
3.5995 3.09612
3.7505 3.31582
3.9015 3.54168
4.0525 3.77366
4.2035 4.01169
4.3545 4.25582
4.5055 4.50598
4.6565 4.76212
4.8075 5.02422
4.9585 5.29224
5.1095 5.56615
5.2605 5.84584
5.4115 6.13145
5.5625 6.4228
5.7135 6.7199
5.8645 7.02274
0.5795 0.0386338
0.7305 0.129475
6.0155 7.33121
6.1665 7.64532
6.3175 7.94695
6.4685 8.23954
6.6195 8.53703
6.7705 8.83937
6.9215 9.14653
7.0725 9.4585
7.2235 9.77524
7.3745 10.0967
7.5255 10.4229
7.6765 10.7538
7.8275 11.0893
7.9785 11.4295
8.1295 11.7742
8.2805 12.1236
8.4315 12.4774
8.5825 12.8358
8.7335 13.1986
8.8845 13.566
0.8815 0.226978
1.0325 0.331113
9.0355 13.9377
9.1865 14.3138
9.3375 14.6943
9.4885 15.0792
9.6395 15.4683
9.7905 15.8618
9.9415 16.2595
10.0925 16.6614
10.2435 17.0676
10.3945 17.4779
10.5455 17.8923
10.6965 18.3109
10.8475 18.7336
10.9985 19.1603
11.1495 19.591
1.1835 0.441874
1.3345 0.559332
