RECO_PTH_200_300_Tag1 chi2 
0.1265 1.01761
-0.0245 1.52326
1.4855 0.113764
1.6365 0.392523
1.7875 0.741834
1.9385 1.16031
2.0895 1.64659
2.2405 2.19926
2.3915 2.81697
2.5425 3.49835
2.6935 4.24205
2.8445 5.04682
0.4285 0.259144
0.2775 0.596619
2.9955 5.91129
3.1465 6.83422
3.2975 7.81436
3.4485 8.85043
3.5995 9.94127
3.7505 11.0858
3.9015 12.2826
4.0525 13.5306
4.2035 14.8287
4.3545 16.1759
4.5055 17.571
4.6565 19.0129
0.7305 -0.171091
0.5795 0.00372616
1.0325 -0.284581
0.8815 -0.266732
1.1835 -0.226201
1.3345 -0.0929124
