RECO_0J_PTH_0_10_Tag2 chi2 
0.1265 6.26133
-0.0245 7.3189
1.6365 0.0445197
1.4855 0.311397
1.9385 -0.254007
1.7875 -0.142738
2.0895 -0.287067
2.2405 -0.242488
2.3915 -0.122332
2.5425 0.0758232
2.6935 0.350459
2.8445 0.701214
0.4285 4.38463
0.2775 5.28325
2.9955 1.12767
3.1465 1.62958
3.2975 2.20646
3.4485 2.85783
3.5995 3.58341
3.7505 4.38276
3.9015 5.25534
4.0525 6.20069
4.2035 7.21838
4.3545 8.30797
4.5055 9.46877
4.6565 10.7006
4.8075 12.0026
4.9585 13.3745
5.1095 14.8156
5.2605 16.3253
5.4115 17.9033
5.5625 19.5489
0.7305 2.8255
0.5795 3.56541
1.0325 1.58322
0.8815 2.16481
1.3345 0.656678
1.1835 1.08057
