RECO_VBFTOPO_JET3_LOWMJJ_Tag0 chi2 
0.0515 5.6629
-0.0495 6.03145
1.0615 2.65076
0.9605 2.89919
1.2635 2.18727
1.1625 2.4135
1.4655 1.76732
1.3645 1.97192
1.6675 1.38976
1.5665 1.57331
1.8695 1.05347
1.7685 1.21652
0.2535 4.96377
0.1525 5.30706
2.0715 0.757354
1.9705 0.900455
2.2735 0.50039
2.1725 0.624034
2.4755 0.281468
2.3745 0.386201
2.6775 0.0996408
2.5765 0.185971
2.8795 -0.0461239
2.7785 0.0223065
3.0815 -0.156751
2.9805 -0.105772
3.2835 -0.233113
3.1825 -0.199136
3.4855 -0.276097
3.3845 -0.258772
3.6875 -0.286846
3.5865 -0.28556
3.7885 -0.280263
3.8895 -0.265885
0.4555 4.31423
0.3545 4.63288
3.9905 -0.243893
4.0915 -0.214213
4.1925 -0.184192
4.2935 -0.198781
4.3945 -0.205536
4.4955 -0.204508
4.5965 -0.195848
4.6975 -0.179579
4.7985 -0.155845
4.8995 -0.124733
5.0005 -0.0863442
5.1015 -0.0407773
5.2025 0.0119001
5.3035 0.0715643
5.4045 0.138148
5.5055 0.211554
5.6065 0.291697
5.7075 0.378504
5.8085 0.471884
5.9095 0.571755
0.6575 3.71303
0.5565 4.00767
6.0105 0.678032
6.1115 0.790642
6.2125 0.909702
6.3135 1.03454
6.4145 1.16545
6.5155 1.30289
6.6165 1.44586
6.7175 1.59497
6.8185 1.74976
6.9195 1.91028
7.0205 2.07647
7.1215 2.24827
7.2225 2.42559
7.3235 2.60838
7.4245 2.79657
7.5255 2.99011
7.6265 3.18891
7.7275 3.39294
7.8285 3.60211
7.9295 3.81636
0.8595 3.15895
0.7585 3.43018
8.0305 4.03567
8.1315 4.25994
8.2325 4.48914
8.3335 4.7232
8.4345 4.96206
8.5355 5.20568
8.6365 5.45399
8.7375 5.70684
8.8385 5.96439
8.9395 6.2264
9.0405 6.49308
9.1415 6.76412
9.2425 7.03956
9.3435 7.31928
9.4445 7.60333
9.5455 7.89162
9.6465 8.18412
9.7475 8.48076
9.8485 8.78151
9.9495 9.08632
