RECO_VBFLIKEGGH_Tag0 chi2 
0.0515 5.9715
-0.0495 6.44646
1.0615 2.18568
0.9605 2.48415
1.2635 1.64647
1.1625 1.90655
1.4655 1.18096
1.3645 1.40517
1.6675 0.789596
1.5665 0.976314
1.8695 0.468855
1.7685 0.620526
0.2535 5.07495
0.1525 5.51428
2.0715 0.216484
1.9705 0.334254
2.2735 0.0304484
2.1725 0.115327
2.4755 -0.0915065
2.3745 -0.0384196
2.6775 -0.151348
2.5765 -0.127125
2.7785 -0.179113
2.8795 -0.22565
2.9805 -0.25901
3.0815 -0.279518
3.1825 -0.28711
3.2835 -0.282288
3.3845 -0.263593
3.4855 -0.235967
3.5865 -0.19427
3.6875 -0.138615
3.7885 -0.0729956
3.8895 0.00214201
0.4555 4.24855
0.3545 4.65308
3.9905 0.0908056
4.0915 0.19084
4.1925 0.302054
4.2935 0.424265
4.3945 0.557461
4.4955 0.701338
4.5965 0.855811
4.6975 1.02069
4.7985 1.19803
4.8995 1.38129
5.0005 1.57887
5.1015 1.78194
5.2025 1.99688
5.3035 2.2215
5.4045 2.45552
5.5055 2.69893
5.6065 2.95154
5.7075 3.2132
5.8085 3.48383
5.9095 3.76328
0.6575 3.49152
0.5565 3.86151
6.0105 4.05143
6.1115 4.34818
6.2125 4.65338
6.3135 4.96694
6.4145 5.28872
6.5155 5.61861
6.6165 5.95653
6.7175 6.30234
6.8185 6.65596
6.9195 7.01727
7.0205 7.3862
7.1215 7.76255
7.2225 8.14637
7.3235 8.5374
7.4245 8.93567
7.5255 9.34105
7.6265 9.75343
7.7275 10.1727
7.8285 10.5989
7.9295 11.0318
0.8595 2.80153
0.7585 3.13847
8.0305 11.4713
8.1315 11.9174
8.2325 12.3701
8.3335 12.8291
8.4345 13.2945
8.5355 13.7661
8.6365 14.2439
8.7375 14.7278
8.8385 15.2177
8.9395 15.7135
9.0405 16.2153
9.1415 16.7228
9.2425 17.236
9.3435 17.755
9.4445 18.2795
9.5455 18.8095
9.6465 19.3449
9.7475 19.8858
