RECO_TTH_HAD_PTH_200_300_Tag2 chi2 
0.1265 -0.265553
-0.0245 -0.230281
1.4855 0.0520247
1.6365 0.14225
1.7875 0.241171
1.9385 0.348291
2.0895 0.463173
2.2405 0.585411
2.3915 0.714633
2.5425 0.850507
2.6935 0.99267
2.8445 1.14084
0.4285 -0.286502
0.2775 -0.283849
2.9955 1.29477
3.1465 1.45418
3.2975 1.61884
3.4485 1.7885
3.5995 1.96296
3.7505 2.14202
3.9015 2.3255
4.0525 2.5132
4.2035 2.70498
4.3545 2.90066
4.5055 3.10011
4.6565 3.30317
4.8075 3.50971
4.9585 3.71963
5.1095 3.9328
5.2605 4.14909
5.4115 4.36843
5.5625 4.59065
5.7135 4.81571
5.8645 5.0435
0.5795 -0.274602
0.7305 -0.249166
6.0155 5.27284
6.1665 5.50195
6.3175 5.7338
6.4685 5.96802
6.6195 6.20465
6.7705 6.44365
6.9215 6.68486
7.0725 6.92826
7.2235 7.17378
7.3745 7.42119
7.5255 7.67079
7.6765 7.92233
7.8275 8.17576
7.9785 8.43105
8.1295 8.68809
8.2805 8.94699
8.4315 9.20736
8.5825 9.46951
8.7335 9.73326
8.8845 9.99855
0.8815 -0.211106
1.0325 -0.161242
9.0355 10.2654
9.1865 10.5337
9.3375 10.8035
9.4885 11.0747
9.6395 11.3472
9.7905 11.6211
9.9415 11.8963
10.0925 12.1728
10.2435 12.4505
10.3945 12.7295
10.5455 13.0096
10.6965 13.2909
10.8475 13.5733
10.9985 13.8569
11.1495 14.1415
11.3005 14.4272
11.4515 14.7139
11.6025 15.0016
11.7535 15.2904
11.9045 15.58
1.1835 -0.100323
1.3345 -0.0290281
12.0555 15.8707
12.2065 16.1622
12.3575 16.4547
12.5085 16.748
12.6595 17.0423
12.8105 17.3373
12.9615 17.6332
13.1125 17.9299
13.2635 18.2274
13.4145 18.5257
13.5655 18.8248
13.7165 19.1246
13.8675 19.4252
14.0185 19.7264
