RECO_ZH_LEP_Tag1 chi2 
3.76865 0
0.203 2.32509
0.001 2.69285
2.223 0.289342
2.021 0.393548
2.627 0.128286
2.425 0.201261
3.031 0.0230877
2.829 0.0691642
3.435 -0.0332045
3.233 -0.0107809
3.839 -0.0404054
3.637 -0.0447552
0.607 1.70195
0.405 1.99602
4.041 -0.0383515
4.243 -0.0213506
4.445 0.00408619
4.647 0.0376848
4.849 0.0788715
5.051 0.127387
5.253 0.18268
5.455 0.244453
5.657 0.312663
5.859 0.386843
6.061 0.466723
6.263 0.55206
6.465 0.642635
6.667 0.738169
6.869 0.838516
7.071 0.94345
7.273 1.05274
7.475 1.16633
7.677 1.28399
7.879 1.40559
1.011 1.20643
0.809 1.43983
8.081 1.53096
8.283 1.65998
8.485 1.79814
8.687 1.92859
8.889 2.06771
9.091 2.21006
9.293 2.35547
9.495 2.50383
9.697 2.65505
9.899 2.80904
1.415 0.816479
1.213 0.999389
1.819 0.515314
1.617 0.655709
