RECO_VBFTOPO_VHHAD_Tag1 chi2 
1.14811 0
0.203 3.01713
0.001 4.5013
2.021 1.97599
2.223 3.22667
2.425 4.7181
2.627 6.44815
2.829 8.39546
3.031 10.5443
3.233 12.8814
3.435 15.3936
3.637 18.0688
0.607 1.14122
0.405 1.96967
1.011 0.0324112
0.809 0.415244
1.213 -0.0857683
1.415 -0.0457187
1.617 0.319117
1.819 1.00183
