RECO_TTH_HAD_PTH_120_200_Tag2 chi2 
-0.0245 -0.242248
0.1265 -0.14267
1.4855 1.1797
1.6365 1.36316
1.7875 1.55232
1.9385 1.74684
2.0895 1.94643
2.2405 2.1508
2.3915 2.35973
2.5425 2.57297
2.6935 2.79031
2.8445 3.01151
0.2775 -0.0318615
0.4285 0.0896754
2.9955 3.23644
3.1465 3.46489
3.2975 3.69671
3.4485 3.93174
3.5995 4.16985
3.7505 4.4109
3.9015 4.65491
4.0525 4.90146
4.2035 5.15061
4.3545 5.40225
4.5055 5.65626
4.6565 5.91257
4.8075 6.17108
4.9585 6.43172
5.1095 6.69439
5.2605 6.95904
5.4115 7.22558
5.5625 7.49395
5.7135 7.76391
5.8645 8.03576
0.5795 0.221089
0.7305 0.361552
6.0155 8.30922
6.1665 8.5843
6.3175 8.86091
6.4685 9.139
6.6195 9.41865
6.7705 9.69958
6.9215 9.98017
7.0725 10.2607
7.2235 10.5426
7.3745 10.8258
7.5255 11.11
7.6765 11.3957
7.8275 11.6825
7.9785 11.9703
8.1295 12.2593
8.2805 12.5494
8.4315 12.8404
8.5825 13.1325
8.7335 13.4255
8.8845 13.7195
0.8815 0.510457
1.0325 0.667222
9.0355 14.0144
9.1865 14.3102
9.3375 14.6069
9.4885 14.9044
9.6395 15.2027
9.7905 15.5018
9.9415 15.8017
10.0925 16.1024
10.2435 16.4038
10.3945 16.7059
10.5455 17.0089
10.6965 17.3124
10.8475 17.6166
10.9985 17.9214
11.1495 18.2269
11.3005 18.5329
11.4515 18.8396
11.6025 19.1469
11.7535 19.4547
11.9045 19.7631
1.1835 0.831316
1.3345 1.00229
