RECO_GE2J_PTH_60_120_Tag2 chi2 
0.1265 -0.126912
-0.0245 0.0325628
1.4855 0.855962
1.6365 1.2282
1.7875 1.65161
1.9385 2.12574
2.0895 2.65005
2.2405 3.22403
2.3915 3.84702
2.5425 4.51867
2.6935 5.23029
2.8445 5.92011
0.4285 -0.281818
0.2775 -0.231943
2.9955 6.6631
3.1465 7.44202
3.2975 8.27771
3.4485 9.16238
3.5995 10.0936
3.7505 11.0725
3.9015 12.0975
4.0525 13.1678
4.2035 14.2835
4.3545 15.4427
4.5055 16.6457
4.6565 17.8914
4.8075 19.1793
0.5795 -0.278796
0.7305 -0.223048
0.8815 -0.112802
1.0325 0.0505534
1.1835 0.266728
1.3345 0.535347
