RECO_VH_MET_Tag1 chi2 
-0.0235 0.0448075
-0.0745 0.11295
0.4865 -0.285044
0.4355 -0.277751
0.5375 -0.287287
0.5885 -0.284658
0.6395 -0.277248
0.6905 -0.26509
0.7415 -0.248724
0.7925 -0.227906
0.8435 -0.202877
0.8945 -0.173761
0.0785 -0.0705308
0.0275 -0.016271
0.9455 -0.140678
0.9965 -0.103738
1.0475 -0.0630453
1.0985 -0.0186919
1.1495 0.0291835
1.2005 0.0805249
1.2515 0.135228
1.3025 0.193183
1.3535 0.25436
1.4045 0.318628
1.4555 0.385939
1.5065 0.456168
1.5575 0.52929
1.6085 0.605219
1.6595 0.683884
1.7105 0.765365
1.7615 0.849309
1.8125 0.935802
1.8635 1.02479
1.9145 1.1162
0.1805 -0.159511
0.1295 -0.118205
1.9655 1.20998
2.0165 1.30609
2.0675 1.40447
2.1185 1.50506
2.1695 1.60783
2.2205 1.71271
2.2715 1.81968
2.3225 1.92868
2.3735 2.03967
2.4245 2.15261
2.4755 2.26746
2.5265 2.38418
2.5775 2.50273
2.6285 2.6229
2.6795 2.74501
2.7305 2.86884
2.7815 2.99436
2.8325 3.12154
2.8835 3.25035
2.9345 3.38075
0.2825 -0.223885
0.2315 -0.194671
2.9855 3.51272
3.0365 3.64622
3.0875 3.78124
3.1385 3.91773
3.1895 4.03771
3.2405 4.16191
3.2915 4.28783
3.3425 4.41533
3.3935 4.5444
3.4445 4.67499
3.4955 4.80708
3.5465 4.94065
3.5975 5.07565
3.6485 5.21208
3.6995 5.34991
3.7505 5.48911
3.8015 5.62965
3.8525 5.77153
3.9035 5.91471
3.9545 6.05915
0.3845 -0.265243
0.3335 -0.247348
4.0055 6.20486
4.0565 6.3518
4.1075 6.49997
4.1585 6.64933
4.2095 6.79985
4.2605 6.95155
4.3115 7.10438
4.3625 7.25834
4.4135 7.4134
4.4645 7.56955
4.5155 7.72677
4.5665 7.88504
4.6175 8.04435
4.6685 8.20468
4.7195 8.36603
4.7705 8.52835
4.8215 8.69165
4.8725 8.85592
4.9235 9.02114
4.9745 9.18728
