RECO_WH_LEP_PTV_0_75_Tag1 chi2 
0.945461 0
0.203 0.282117
0.001 0.497086
2.021 0.532737
2.223 0.715993
2.425 0.898054
2.627 1.12016
2.829 1.37313
3.031 1.65782
3.233 1.97185
3.435 2.3188
3.637 2.68718
3.839 3.07589
0.607 0.0186948
0.405 0.129353
4.041 3.49907
4.243 3.94015
4.445 4.40339
4.647 4.88789
4.849 5.3871
5.051 5.91151
5.253 6.45464
5.455 7.01579
5.657 7.59428
5.859 8.18942
6.061 8.80061
6.263 9.42718
6.465 10.0687
6.667 10.7246
6.869 11.3993
7.071 12.0775
7.273 12.7735
7.475 13.4871
7.677 14.2027
7.879 14.9348
1.011 -0.0446621
0.809 -0.0363839
8.081 15.6783
8.283 16.4328
8.485 17.1978
8.687 17.9731
8.889 18.7582
9.091 19.553
1.213 -0.00856483
1.415 0.0694708
1.617 0.187111
1.819 0.342122
