RECO_TTH_LEP_PTH_0_60_Tag0 chi2 
0.1265 0.589762
-0.0245 0.904133
1.4855 -0.287151
1.6365 -0.283182
1.7875 -0.268553
1.9385 -0.244385
2.0895 -0.211699
2.2405 -0.171304
2.3915 -0.123798
2.5425 -0.070289
2.6935 -0.0107724
2.8445 0.0541005
0.4285 0.166137
0.2775 0.34999
2.9955 0.123904
3.1465 0.198331
3.2975 0.277015
3.4485 0.359671
3.5995 0.446074
3.7505 0.535979
3.9015 0.629177
4.0525 0.725494
4.2035 0.824711
4.3545 0.926715
4.5055 1.03135
4.6565 1.13848
4.8075 1.24797
4.9585 1.35974
5.1095 1.47366
5.2605 1.58965
5.4115 1.7076
5.5625 1.82744
5.7135 1.9491
5.8645 2.07248
0.7305 -0.0818601
0.5795 0.0251936
6.0155 2.19751
6.1665 2.32415
6.3175 2.45233
6.4685 2.58199
6.6195 2.71308
6.7705 2.84555
6.9215 2.97939
7.0725 3.11443
7.2235 3.25075
7.3745 3.38827
7.5255 3.52695
7.6765 3.66675
7.8275 3.80765
7.9785 3.9496
8.1295 4.09257
8.2805 4.23654
8.4315 4.38147
8.5825 4.52734
8.7335 4.67408
8.8845 4.82178
1.0325 -0.218683
0.8815 -0.16155
9.0355 4.9703
9.1865 5.11967
9.3375 5.26983
9.4885 5.4208
9.6395 5.57255
9.7905 5.72506
9.9415 5.87825
10.0925 6.03224
10.2435 6.1853
10.3945 6.33882
10.5455 6.49306
10.6965 6.64799
10.8475 6.80378
10.9985 6.96003
11.1495 7.11673
11.3005 7.27419
11.4515 7.43225
11.6025 7.59089
11.7535 7.75008
11.9045 7.90985
1.3345 -0.278971
1.1835 -0.256887
12.0555 8.07017
12.2065 8.23103
12.3575 8.39243
12.5085 8.55432
12.6595 8.71671
12.8105 8.87961
12.9615 9.04298
13.1125 9.20684
13.2635 9.37115
13.4145 9.53592
13.5655 9.70114
13.7165 9.8668
13.8675 10.0329
14.0185 10.1994
14.1695 10.3663
14.3205 10.5336
14.4715 10.7014
14.6225 10.8695
14.7735 11.038
14.9245 11.2069
