RECO_TTH_LEP_PTH_60_120_Tag1 chi2 
-0.1 0
0.051 -0.026477
0.353 0.0467575
3.071 1.7301
3.373 1.97675
3.675 2.2299
3.977 2.48875
4.279 2.75267
4.581 3.02108
4.883 3.29342
5.185 3.56945
5.487 3.84872
5.789 4.13091
0.655 0.155542
0.957 0.292965
6.091 4.41574
6.393 4.70295
6.695 4.99233
6.997 5.28369
7.299 5.57676
7.601 5.87154
7.903 6.16782
8.205 6.46545
8.507 6.76433
8.809 7.06435
9.111 7.36542
9.413 7.66743
9.715 7.97032
10.017 8.27401
10.319 8.57842
10.621 8.8835
10.923 9.18919
11.225 9.49543
11.527 9.80217
11.829 10.1094
1.259 0.453755
1.561 0.633749
12.131 10.417
12.433 10.725
12.735 11.0333
13.037 11.342
13.339 11.6509
13.641 11.9599
13.943 12.2694
14.245 12.5789
14.547 12.8885
14.849 13.1984
1.863 0.829694
2.165 1.03916
2.467 1.26009
2.769 1.49084
