RECO_1J_PTH_0_60_Tag0 chi2 
0.1265 3.16908
-0.0245 4.82055
1.4855 3.26824
1.6365 4.84932
1.7875 6.70227
1.9385 8.73128
2.0895 10.979
2.2405 13.4411
2.3915 16.1056
2.5425 18.8902
0.4285 0.706853
0.2775 1.76561
0.7305 -0.268417
0.5795 0.0321826
0.8815 -0.206456
1.0325 0.205118
1.1835 0.95208
1.3345 1.97392
