RECO_TTH_HAD_PTH_0_60_Tag0 chi2 
-0.0245 -0.258167
0.1265 -0.187833
1.4855 0.972915
1.6365 1.14387
1.7875 1.32093
1.9385 1.50362
2.0895 1.6916
2.2405 1.88448
2.3915 2.08193
2.5425 2.28368
2.6935 2.48943
2.8445 2.69896
0.2775 -0.10269
0.4285 -0.00403591
2.9955 2.91202
3.1465 3.12843
3.2975 3.34799
3.4485 3.57051
3.5995 3.79591
3.7505 4.02386
3.9015 4.25439
4.0525 4.4873
4.2035 4.7225
4.3545 4.95985
4.5055 5.19926
4.6565 5.44064
4.8075 5.68388
4.9585 5.9289
5.1095 6.17563
5.2605 6.42399
5.4115 6.67388
5.5625 6.92533
5.7135 7.17811
5.8645 7.43231
0.5795 0.106788
0.7305 0.22866
6.0155 7.68774
6.1665 7.94458
6.3175 8.20255
6.4685 8.46168
6.6195 8.72197
6.7705 8.98323
6.9215 9.24558
7.0725 9.50891
7.2235 9.7732
7.3745 10.0384
7.5255 10.3045
7.6765 10.5714
7.8275 10.8392
7.9785 11.1078
8.1295 11.377
8.2805 11.6471
8.4315 11.9179
8.5825 12.1894
8.7335 12.4615
8.8845 12.7342
0.8815 0.360586
1.0325 0.501699
9.0355 13.0076
9.1865 13.2816
9.3375 13.5562
9.4885 13.8313
9.6395 14.107
9.7905 14.3831
9.9415 14.6598
10.0925 14.937
10.2435 15.2147
10.3945 15.4928
10.5455 15.7714
10.6965 16.0504
10.8475 16.3298
10.9985 16.6096
11.1495 16.8898
11.3005 17.1704
11.4515 17.4513
11.6025 17.7326
11.7535 18.0143
11.9045 18.2963
1.1835 0.651235
1.3345 0.808503
12.0555 18.5786
12.2065 18.8612
12.3575 19.1441
12.5085 19.4274
12.6595 19.7109
12.8105 19.9947
