RECO_VBFTOPO_VHHAD_Tag0 chi2 
0.0515 1.52902
-0.0495 1.99592
0.9605 -0.260331
1.0615 -0.287122
1.1625 -0.268498
1.2635 -0.206125
1.3645 -0.101614
1.4655 0.0435035
1.5665 0.227824
1.6675 0.449881
1.7685 0.708463
1.8695 1.00228
0.2535 0.782156
0.1525 1.12533
1.9705 1.33013
2.0715 1.69086
2.1725 2.08343
2.2735 2.50677
2.3745 2.95991
2.4755 3.44189
2.5765 3.95181
2.6775 4.48879
2.7785 5.052
2.8795 5.64066
2.9805 6.25397
3.0815 6.89124
3.1825 7.55181
3.2835 8.23493
3.3845 8.93997
3.4855 9.66632
3.5865 10.4134
3.6875 11.1806
3.7885 11.9673
3.8895 12.7732
0.4555 0.267645
0.3545 0.497044
3.9905 13.5975
4.0915 14.44
4.1925 15.2999
4.2935 16.177
4.3945 17.0708
4.4955 17.9809
4.5965 18.9067
4.6975 19.848
0.6575 -0.0325405
0.5565 0.0918017
0.8595 -0.186302
0.7585 -0.107438
